video_id,max_score,category,critical_visual,critical_audio,n_critical_visual,n_critical_audio
I5oeY5O5oJI_64_2,26.7272,mixed,mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation|max_blending_flicker|blending_variance,wer_score|vocal_jitter_relative|vocal_shimmer_relative,5,3
JIhXrwnD-EU_124_1,19.5077,mixed,mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation,wer_score|temporal_sync_variance,3,2
JpytM780stk_120_2,25.6947,mixed,max_texture_flicker|asymmetry_max|mean_landmark_jitter,wer_score,3,1
JpytM780stk_137_1,164.8275,mixed,max_texture_flicker|asymmetry_max|max_kinematic_flicker,wer_score,3,1
JpytM780stk_180_1,21.6585,mixed,max_texture_flicker|asymmetry_max,wer_score,2,1
JpytM780stk_229_2,37.4688,mixed,max_texture_flicker|asymmetry_max|mean_landmark_jitter|max_kinematic_flicker|mouth_movement_variance,temporal_anomaly,5,1
JpytM780stk_241_1,35.1502,mixed,max_texture_flicker|asymmetry_max|max_kinematic_flicker|mouth_movement_variance|max_blending_flicker|blending_variance,wer_score,6,1
JpytM780stk_37_1,45.2289,mixed,max_texture_flicker|asymmetry_max|mean_landmark_jitter|max_kinematic_flicker,wer_score,4,1
JpytM780stk_51_1,34.0924,mixed,asymmetry_max,wer_score,1,1
JpytM780stk_54_1,15.9944,mixed,max_texture_flicker|asymmetry_max,wer_score|vocal_shimmer_relative,2,2
LP7LAix6Veg_23_1,23.901,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance,,2,0
OUubanO1cBs_33_2,15.5437,mixed,mouth_movement_variance|iris_jitter_variance,wer_score,2,1
OUubanO1cBs_34_1,16.9725,mixed,mouth_movement_variance|max_blending_flicker,wer_score,2,1
Oo2upU6ny-I_22_7,16.1343,scene_cut_or_visual,max_rigid_violation|gaze_anomaly,,2,0
P1NzPGwW0KY_19_1,15.789,mixed,max_rigid_violation,wer_score,1,1
P9rEtDiot-w_23_3,18.2838,mixed,blending_variance,vocal_shimmer_relative,1,1
P9rEtDiot-w_90_4,30.1206,off_screen_speaker,,wer_score|temporal_sync_variance,0,2
Q6446362oOg_75_5,151.1353,mixed,mean_landmark_jitter|max_rigid_violation,wer_score,2,1
QjpaJpMd5NU_33_1,17.8663,mixed,max_blur_flicker|blur_flicker_variance|mean_landmark_jitter|max_kinematic_flicker|max_blending_flicker|blending_variance,wer_score,6,1
RyS9_vOdxXo_15_1,60.9245,mixed,max_kinematic_flicker|max_rigid_violation,vocal_shimmer_relative,2,1
TkpyR9VBwTs_35_1,20.4806,scene_cut_or_visual,max_blending_flicker|blending_variance,,2,0
U509hHthip8_22_1,15.925,mixed,asymmetry_max|max_rigid_violation|max_blending_flicker|blending_variance,temporal_sync_variance,4,1
UFNRxEmoMaw_133_2,16.7387,scene_cut_or_visual,blur_flicker_variance,,1,0
W1ZA84dnDdM_11_1,18.6324,scene_cut_or_visual,mean_landmark_jitter|max_kinematic_flicker|max_blending_flicker|blending_variance,,4,0
W64VZ5zCM2U_64_5,88.6358,off_screen_speaker,,wer_score,0,1
WicBE2Uwz0A_121_1,17.6378,mixed,max_blur_flicker|blur_flicker_variance,wer_score,2,1
WicBE2Uwz0A_50_1,18.8965,mixed,max_blur_flicker|blur_flicker_variance|max_texture_flicker|asymmetry_max|mean_landmark_jitter,wer_score,5,1
YbnS39GAcQo_133_1,17.0621,scene_cut_or_visual,blur_flicker_variance|mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation,,4,0
ZoK50tFQodc_51_1,24.2112,mixed,max_rigid_violation|mouth_movement_variance|max_blending_flicker|blending_variance,wer_score,4,1
ZoK50tFQodc_84_1,20.1484,mixed,mean_landmark_jitter|max_rigid_violation|mouth_movement_variance|max_blending_flicker|blending_variance,wer_score|vocal_shimmer_relative,5,2
_JWv8KmW5Ds_12_1,15.7342,mixed,max_kinematic_flicker|max_rigid_violation|blinking_variance,wer_score|vocal_shimmer_relative,3,2
_cPj3b9BDPI_14_2,27.3034,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_texture_flicker|asymmetry_max|max_rigid_violation|max_blending_flicker|blending_variance,,7,0
_kcqIEDt7iY_430_1,26.9742,mixed,max_blending_flicker|blending_variance,wer_score|temporal_anomaly|min_temporal_anomaly,2,3
_uUskajC1Ps_111_1,25.8629,mixed,blur_flicker_variance,wer_score|temporal_anomaly,1,2
_uUskajC1Ps_129_1,48.7033,mixed,max_kinematic_flicker|max_blending_flicker|blending_variance,wer_score,3,1
_uUskajC1Ps_196_1,21.2087,mixed,max_blending_flicker|blending_variance,wer_score|min_temporal_anomaly,2,2
_uUskajC1Ps_85_1,16.1616,mixed,blending_variance,wer_score|temporal_anomaly,1,2
akNqFXCVPwU_12_4,583.0864,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_rigid_violation|max_blending_flicker|blending_variance,,5,0
akNqFXCVPwU_21_2,90.8333,mixed,max_blur_flicker|blur_flicker_variance|max_blending_flicker|blending_variance,wer_score,4,1
akNqFXCVPwU_24_1,524.1403,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_texture_flicker|max_kinematic_flicker|max_rigid_violation|max_blending_flicker|blending_variance,,7,0
akNqFXCVPwU_31_2,63.1653,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_rigid_violation|max_blending_flicker|blending_variance,,5,0
akNqFXCVPwU_35_2,29.5935,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_blending_flicker|blending_variance,,4,0
akNqFXCVPwU_40_2,83.7852,mixed,max_blur_flicker|blur_flicker_variance|iris_jitter_variance|max_blending_flicker|blending_variance,wer_score,5,1
bTXRMq1r3hA_25_2,28.4835,mixed,max_kinematic_flicker|blinking_variance|max_blending_flicker|blending_variance,wer_score,4,1
bVR4pSn7Hhc_9_1,16.4185,mixed,max_blur_flicker|max_kinematic_flicker|max_blending_flicker|blending_variance,wer_score,4,1
bZ8vHNdqwPc_184_4,36.7717,mixed,max_kinematic_flicker|mouth_movement_variance,wer_score|vocal_shimmer_relative,2,2
bZ8vHNdqwPc_48_1,18.4503,mixed,gaze_anomaly,wer_score|vocal_shimmer_relative,1,2
bkCpQk_K_jg_220_1,40.1122,scene_cut_or_visual,blur_flicker_variance|max_texture_flicker|mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation|mouth_movement_variance|gaze_anomaly|max_blending_flicker|blending_variance,,9,0
bmdqRP0UcOQ_10_1,15.9856,mixed,mouth_movement_variance,wer_score,1,1
bmdqRP0UcOQ_11_5,17.2589,mixed,iris_jitter_variance,wer_score|vocal_jitter_relative,1,2
bmdqRP0UcOQ_12_3,16.106,off_screen_speaker,,wer_score|temporal_sync_variance,0,2
cA6bhAuQDVk_151_1,16.4043,mixed,max_blur_flicker|mouth_movement_variance|iris_jitter_variance|max_blending_flicker|blending_variance,wer_score,5,1
cA6bhAuQDVk_186_1,15.6375,mixed,max_kinematic_flicker|mouth_movement_variance,wer_score,2,1
cbtkoZUOR1A_55_8,16.6353,scene_cut_or_visual,max_rigid_violation|max_blending_flicker,,2,0
dVUJhN0K_qQ_101_5,18.2797,mixed,max_kinematic_flicker|max_rigid_violation|max_blending_flicker|blending_variance,wer_score,4,1
dVUJhN0K_qQ_146_2,28.1297,scene_cut_or_visual,max_blur_flicker|max_kinematic_flicker|max_rigid_violation|max_blending_flicker|blending_variance,,5,0
dVUJhN0K_qQ_156_5,60.5485,scene_cut_or_visual,max_kinematic_flicker|max_rigid_violation|max_blending_flicker|blending_variance,,4,0
dVUJhN0K_qQ_34_1,16.606,scene_cut_or_visual,max_kinematic_flicker|max_rigid_violation|gaze_anomaly|max_blending_flicker|blending_variance,,5,0
dVUJhN0K_qQ_35_8,19.9179,mixed,max_kinematic_flicker|max_rigid_violation|gaze_anomaly|max_blending_flicker|blending_variance,wer_score,5,1
e0WrsJ1P-AM_11_1,46.0156,mixed,mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation|max_blending_flicker|blending_variance,wer_score|vocal_shimmer_relative,5,2
e0WrsJ1P-AM_13_1,19.2678,mixed,mean_landmark_jitter|max_kinematic_flicker|max_blending_flicker|blending_variance,vocal_shimmer_relative,4,1
e0WrsJ1P-AM_17_1,1144.0378,mixed,mean_landmark_jitter,wer_score|vocal_shimmer_relative,1,2
e0WrsJ1P-AM_23_1,17.5302,mixed,mean_landmark_jitter,vocal_shimmer_relative,1,1
e0WrsJ1P-AM_26_1,61.9116,scene_cut_or_visual,mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation|max_blending_flicker|blending_variance,,5,0
eyb0_CHPvE0_0_2,18.6111,mixed,max_blending_flicker|blending_variance,wer_score|temporal_sync_variance,2,2
gFc4L4kjt-Y_17_2,16.9721,off_screen_speaker,,wer_score|temporal_sync_variance,0,2
gt_4Li_N3sM_13_1,23.6243,off_screen_speaker,,wer_score|vocal_jitter_relative|vocal_shimmer_relative,0,3
hMutHPLkUYM_47_1,17.3273,mixed,max_rigid_violation|max_blending_flicker|blending_variance,wer_score,3,1
hn5gytOCVgE_66_2,17.377,mixed,mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation|max_blending_flicker|blending_variance,vocal_jitter_relative,5,1
jagcBY8zj_w_76_1,27.1196,mixed,mean_landmark_jitter,wer_score,1,1
jagcBY8zj_w_83_3,15.9381,mixed,mean_landmark_jitter|max_kinematic_flicker,wer_score|vocal_jitter_relative|vocal_shimmer_relative,2,3
jkF_H1KppOE_10_4,99.7808,mixed,mouth_movement_variance,wer_score,1,1
kYyyMVTnHGQ_88_1,34.9383,mixed,blinking_variance|iris_jitter_variance,wer_score|vocal_jitter_relative|vocal_shimmer_relative,2,3
kb4ETvGsWTw_40_1,15.8404,mixed,max_blur_flicker|blur_flicker_variance|blinking_variance|mouth_movement_variance|iris_jitter_variance,wer_score|temporal_anomaly|min_temporal_anomaly,5,3
kb4ETvGsWTw_48_1,23.6516,mixed,mouth_movement_variance,wer_score|vocal_shimmer_relative,1,2
mJERjWcYYVI_107_1,17.7422,mixed,max_kinematic_flicker|max_rigid_violation|blinking_variance|mouth_movement_variance|iris_jitter_variance|max_blending_flicker|blending_variance,wer_score,7,1
mJERjWcYYVI_131_1,16.4519,mixed,mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation,wer_score,3,1
mJERjWcYYVI_149_4,19.265,mixed,max_blur_flicker|blur_flicker_variance|max_texture_flicker|max_kinematic_flicker|max_rigid_violation|max_blending_flicker|blending_variance,wer_score|temporal_sync_variance,7,2
mJERjWcYYVI_153_1,129.1078,scene_cut_or_visual,blur_flicker_variance|mouth_movement_variance,,2,0
mJERjWcYYVI_159_2,15.5907,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_texture_flicker|max_rigid_violation,,4,0
mJERjWcYYVI_235_1,18.6398,mixed,max_blur_flicker|blur_flicker_variance|max_texture_flicker|mouth_movement_variance|max_blending_flicker|blending_variance,wer_score|temporal_sync_variance,6,2
qC1QlUr5mCE_22_2,15.6565,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_texture_flicker|asymmetry_max|mean_landmark_jitter|max_blending_flicker|blending_variance,,7,0
qqrniqhsQgI_82_2,15.8548,mixed,max_kinematic_flicker|iris_jitter_variance|max_blending_flicker,wer_score|temporal_sync_variance,3,2
qzefMI98qQw_126_2,16.434,mixed,max_blending_flicker|blending_variance,wer_score|vocal_jitter_relative|vocal_shimmer_relative,2,3
qzefMI98qQw_267_1,19.0699,mixed,max_kinematic_flicker|mouth_movement_variance|max_blending_flicker|blending_variance,wer_score|temporal_anomaly|min_temporal_anomaly,4,3
qzefMI98qQw_59_1,24.6089,mixed,max_blur_flicker|blur_flicker_variance|max_kinematic_flicker|max_rigid_violation|blinking_variance|mouth_movement_variance,wer_score,6,1
qzqQ_Xh1hXA_15_1,16.8019,mixed,max_texture_flicker|asymmetry_max,wer_score,2,1
qzqQ_Xh1hXA_31_1,18.6798,off_screen_speaker,,wer_score|vocal_shimmer_relative,0,2
s9rCzZEZKnM_27_5,26.2588,scene_cut_or_visual,blur_flicker_variance|mean_landmark_jitter|max_kinematic_flicker|max_rigid_violation|gaze_anomaly|blending_variance,,6,0
s9rCzZEZKnM_9_8,17.3874,mixed,max_blur_flicker|blur_flicker_variance|max_kinematic_flicker|max_rigid_violation|max_blending_flicker|blending_variance,temporal_anomaly,6,1
tQtRGK_XBcA_20_3,27.7147,mixed,blinking_variance|mouth_movement_variance|iris_jitter_variance,wer_score|temporal_sync_variance|vocal_shimmer_relative,3,3
uBZGiXfgAn4_36_1,122.22,mixed,mean_landmark_jitter,wer_score,1,1
u_-KxgTpKpk_19_4,21.0891,mixed,max_rigid_violation|max_blending_flicker|blending_variance,wer_score|vocal_jitter_relative|vocal_shimmer_relative,3,3
u_-KxgTpKpk_26_1,17.0916,mixed,max_kinematic_flicker|max_rigid_violation|mouth_movement_variance,wer_score|vocal_jitter_relative|vocal_shimmer_relative,3,3
v4Y0FzwVMR8_14_1,24.1132,mixed,max_blur_flicker|blur_flicker_variance|max_texture_flicker|asymmetry_max,temporal_anomaly,4,1
v4Y0FzwVMR8_22_2,20.2701,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance,,2,0
v4Y0FzwVMR8_24_1,28.5021,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance,,2,0
v4Y0FzwVMR8_24_2,18.4409,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_texture_flicker|asymmetry_max,,4,0
v4Y0FzwVMR8_74_1,24.7152,scene_cut_or_visual,max_blur_flicker|blur_flicker_variance|max_texture_flicker|max_rigid_violation,,4,0
xvUrt2-gXiU_31_1,55.7753,mixed,max_texture_flicker|asymmetry_max|mean_landmark_jitter,wer_score,3,1
